Characteristic,Sub-Characteristic,1989 - Income - Median ($),1989 - Mean ($),1989 - Percentage of families that saved (%),1989 - Percentage of families (%),1992 - Income - Median ($),1992 - Mean ($),1992 - Percentage of families that saved (%),1992 - Percentage of families (%),1995 - Income - Median ($),1995 - Mean ($),1995 - Percentage of families that saved (%),1995 - Percentage of families (%),1998 - Income - Median ($),1998 - Mean ($),1998 - Percentage of families that saved (%),1998 - Percentage of families (%),2001 - Income - Median ($),2001 - Mean ($),2001 - Percentage of families that saved (%),2001 - Percentage of families (%),2004 - Income - Median ($),2004 - Mean ($),2004 - Percentage of families that saved (%),2004 - Percentage of families (%),2007 - Income - Median ($),2007 - Mean ($),2007 - Percentage of families that saved (%),2007 - Percentage of families (%),2010 - Income - Median ($),2010 - Mean ($),2010 - Percentage of families that saved (%),2010 - Percentage of families (%),2013 - Income - Median ($),2013 - Mean ($),2013 - Percentage of families that saved (%),2013 - Percentage of families (%),2016 - Income - Median ($),2016 - Mean ($),2016 - Percentage of families that saved (%),2016 - Percentage of families (%)
Age of head (years),55–64,26093.0,47718.0,n.a.,0.13852,29721.0,49673.0,0.592637,0.13196,33795.0,54019.0,0.580355,0.12508,38515.0,71444.0,0.609478,0.12843,45253.0,89489.0,0.620113,0.13247,54432.0,99786.0,0.5845199999999999,0.1524,54503.0,110975.0,0.5843010000000001,0.16849,54874.0,105455.0,0.513491,0.17515999999999998,54784.0,109422.0,0.554205,0.18735,60758.0,140686.0,0.550415,0.19224
Age of head (years),65–74,16700.0,35769.0,n.a.,0.12560000000000002,17423.0,28990.0,0.541062,0.12634,19458.0,37522.0,0.5004460000000001,0.12043,24325.0,46471.0,0.563482,0.11223000000000001,27769.0,57819.0,0.617648,0.1074,33378.0,59731.0,0.5710000000000001,0.10477,39078.0,92050.0,0.5668070000000001,0.10522999999999999,42680.0,75577.0,0.535941,0.11496,45654.0,97738.0,0.511518,0.12886,50328.0,105702.0,0.5431900000000001,0.14137
Age of head (years),75 or more,13568.0,25579.0,n.a.,0.08868999999999999,13323.0,23342.0,0.49383099999999996,0.094,16385.0,26496.0,0.517431,0.09820000000000001,16216.999999999998,28973.0,0.486463,0.10206,22626.0,36689.0,0.555138,0.10374,23621.0,40837.0,0.45728499999999994,0.10711999999999999,22758.0,45740.0,0.493798,0.10617000000000001,28453.0,45836.0,0.540443,0.10735,28407.0,50728.0,0.496633,0.10708000000000001,39493.0,76969.0,0.535347,0.11195000000000001
Family structure,Single with child(ren),13568.0,19605.0,n.a.,0.11016,14348.0,21063.0,0.45061100000000004,0.11138999999999999,16385.0,21022.0,0.36930399999999997,0.11996000000000001,17230.0,25222.0,0.38953299999999996,0.11349999999999999,22626.0,29488.0,0.450216,0.11392,25675.0,32888.0,0.399692,0.12093,28794.0,42130.0,0.414962,0.1226,29469.0,39255.0,0.380349,0.11992000000000001,28407.0,41442.0,0.36005499999999996,0.12101,32404.000000000004,53074.0,0.41356000000000004,0.12079000000000001
Family structure,"Single, no child, age less than 55",17743.0,30997.0,n.a.,0.1558,20497.0,26641.0,0.52261,0.16033999999999998,22530.0,26642.0,0.510856,0.15768000000000001,24325.0,30772.0,0.52004,0.16365,28797.0,45348.0,0.5595060000000001,0.15116,28756.0,39251.0,0.52793,0.1528,33936.0,47157.0,0.550353,0.13968999999999998,30485.0,42441.0,0.49808,0.14748,31450.0,45872.0,0.511702,0.14126,33417.0,57259.0,0.540016,0.14177
Family structure,"Single, no child, age 55 or more",10437.0,17627.0,n.a.,0.15213,12298.0,18913.0,0.46752699999999997,0.15251,13313.0,22253.0,0.44357599999999997,0.1376,17230.0,26130.0,0.47975700000000004,0.13762,16456.0,32516.0,0.494229,0.13180999999999998,21567.0,33558.0,0.457218,0.14661,24681.0,36607.0,0.485473,0.14937,24388.0,39435.0,0.45459200000000005,0.1519,25363.0,41217.0,0.465235,0.16622,28354.0,51168.0,0.470803,0.17028
Family structure,Couple with child(ren),37574.0,52020.0,n.a.,0.36174999999999996,40995.0,55972.0,0.62112,0.32850999999999997,43012.0,60610.0,0.601156,0.3189,51691.0,72238.0,0.591156,0.32708,62737.0,94149.0,0.619913,0.31062999999999996,65729.0,98996.0,0.617467,0.31675000000000003,70957.0,113002.0,0.6027600000000001,0.31689,67068.0,109148.0,0.5277040000000001,0.31535,74060.0,122753.0,0.570581,0.30518999999999996,81011.0,135567.0,0.585797,0.28717
Family structure,"Couple, no child",32354.999999999996,57007.0,n.a.,0.22016,33821.0,49148.0,0.652141,0.24725000000000003,37891.0,58505.0,0.655854,0.26586,42569.0,69425.0,0.658694,0.25815,51423.0,86888.0,0.679735,0.29248999999999997,58540.0,92864.0,0.644014,0.26292000000000004,61702.0,114643.0,0.63805,0.27143999999999996,61987.0,101490.0,0.622221,0.26535,66959.0,115601.0,0.611447,0.26632,74328.0,143145.0,0.639033,0.28
Education of head,No high school diploma,13568.0,19533.0,n.a.,0.24258,12298.0,17430.0,0.381054,0.20344,14337.0,20930.0,0.42752,0.18525,15203.0,21694.0,0.395285,0.16463999999999998,16456.0,25108.0,0.38658299999999995,0.16003,19513.0,25910.0,0.358934,0.14432999999999999,22624.0,31347.0,0.415767,0.13527,23372.0,33685.0,0.36924100000000004,0.11968999999999999,22320.0,30109.0,0.36336399999999996,0.11015000000000001,26329.0,38841.0,0.39265,0.12678
Education of head,High school diploma,22962.0,29956.0,n.a.,0.32136000000000003,23572.0,30083.0,0.567754,0.30015000000000003,25602.0,35016.0,0.505687,0.31735,29393.0,37000.0,0.5374,0.31866,33940.0,44800.0,0.566502,0.31727,35946.0,44802.0,0.540255,0.30595,37021.0,51110.0,0.5112639999999999,0.32858,36582.0,48055.0,0.473929,0.32191000000000003,36523.0,50699.0,0.47106499999999996,0.31297,40505.0,57221.0,0.505621,0.25962
